Georgia Tech
Quant Results:
160 2
161 3
162 4
163 4
164 4
165 6
166 6
167 5
168 3
169 3
170 7
Verbal Results:
149 1
152 1
153 2
154 6
155 1
156 1
157 7
158 4
159 4
160 1
161 3
162 4
163 3
164 2
165 3
166 1
168 1
169 1
170 1

UCSD Results:
Quant Results:
154 1
159 1
161 1
162 3
163 2
164 2
165 6
166 6
167 5
168 5
169 1
170 7
Verbal Results:
149 2
150 1
151 1
152 2
153 3
154 1
155 3
156 6
157 5
158 3
160 3
161 2
162 1
163 2
164 2
165 1
167 1
168 1

USC Results
Quant Results:
151 1
152 1
153 1
154 2
155 2
156 11
157 4
158 13
159 20
160 28
161 33
162 41
163 30
164 33
165 33
166 25
167 22
168 25
169 6
170 20
Verbal Results:
0 1
139 1
140 1
141 1
142 4
143 3
144 7
145 5
146 12
147 17
148 20
149 21
150 25
151 16
152 29
153 25
154 33
155 22
156 19
157 19
158 15
159 12
160 11
161 15
162 7
163 3
164 2
165 3
167 3
168 1
170 1
